trip_id,started_at,ended_at,start_lat,start_lng,end_lat,end_lng
262,01-02-2023 06:55,01-02-2023 07:08,38.88409515,-76.99523449,38.8997,-77.023086
263,01-02-2023 06:55,01-02-2023 07:24,38.913761,-77.027025,38.896544,-76.96012
264,01-02-2023 06:56,01-02-2023 07:03,38.89728305,-77.02219069,38.894972,-77.003135
265,01-02-2023 06:56,01-02-2023 07:12,38.9418,-77.0251,38.9121,-77.0387
266,01-02-2023 06:57,01-02-2023 07:00,38.899972,-76.998347,38.900412,-77.001949
267,01-02-2023 06:57,01-02-2023 07:00,38.9,-77.05,38.90088,-77.048911
268,01-02-2023 06:57,01-02-2023 07:09,38.93362635,-77.05753013,38.9190185,-77.034449
269,01-02-2023 06:57,01-02-2023 07:25,38.9375,-77.0328,38.902061,-77.038322
270,01-02-2023 06:57,01-02-2023 07:29,38.915544,-77.038252,38.876893,-77.006072
271,01-02-2023 06:58,01-02-2023 07:03,38.90042674,-76.98825002,38.90293157,-76.99840486
272,01-02-2023 06:58,01-02-2023 07:04,38.915544,-77.038252,38.90276,-77.03863
273,01-02-2023 06:58,01-02-2023 07:05,38.90088,-77.048911,38.9101,-77.0444
274,01-02-2023 06:58,01-02-2023 07:07,38.886266,-77.022241,38.894514,-77.031617
275,01-02-2023 06:58,01-02-2023 07:10,38.8996385,-77.00341933,38.876823,-77.002161
276,01-02-2023 06:58,01-02-2023 07:14,38.86739533,-76.98796333,38.8997,-77.023086
277,01-02-2023 06:59,01-02-2023 07:07,38.9319,-77.0388,38.932128,-77.0235
278,01-02-2023 07:00,01-02-2023 07:02,38.90864,-77.02277,38.905737,-77.02227
279,01-02-2023 07:00,01-02-2023 07:06,38.8803,-76.9862,38.881185,-77.001828
280,01-02-2023 07:00,01-02-2023 07:06,38.912652,-77.036278,38.90276,-77.03863
281,01-02-2023 07:00,01-02-2023 07:06,38.873755,-77.089233,38.88701008,-77.09525675
282,01-02-2023 07:00,01-02-2023 07:06,38.93146083,-77.028208,38.928743,-77.012457
283,01-02-2023 07:00,01-02-2023 07:07,38.90304,-77.019027,38.903819,-77.0284
284,01-02-2023 07:00,01-02-2023 07:08,38.89696,-77.00493,38.887312,-77.025762
285,01-02-2023 07:00,01-02-2023 07:09,38.909858,-77.038566,38.9003,-77.0429
286,01-02-2023 07:00,01-02-2023 07:12,38.896923,-77.086502,38.902314,-77.0591415
287,01-02-2023 07:01,01-02-2023 07:01,38.9,-77,38.9,-77
288,01-02-2023 07:01,01-02-2023 07:06,38.93131717,-77.02818433,38.9190185,-77.034449
289,01-02-2023 07:01,01-02-2023 07:10,38.915544,-77.038252,38.9055785,-77.027313
290,01-02-2023 07:01,01-02-2023 07:10,38.9190185,-77.034449,38.89646475,-77.03338087
291,01-02-2023 07:01,01-02-2023 07:22,38.925284,-77.032375,38.90071063,-77.04644859
292,01-02-2023 07:02,01-02-2023 07:04,38.900412,-77.001949,38.89696,-77.00493
293,01-02-2023 07:02,01-02-2023 07:06,38.92755,-77.226644,38.920939,-77.222115
294,01-02-2023 07:02,01-02-2023 07:18,38.93215,-77.0234945,38.987,-77.029417
